City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Orocue,CO,74.84,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
264,Dibulla,CO,79.27,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
265,Vylkove,UA,64.63,clear sky,45.4021,29.586,Pelican City
266,Sao Filipe,CV,73.83,few clouds,14.8961,-24.4956,Hotel Xaguate
268,Yar-Sale,RU,68.68,overcast clouds,66.8333,70.8333,Yalemd
269,Karratha,AU,68.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
272,Antsohihy,MG,68.99,few clouds,-14.8796,47.9875,Hotel de Ville
273,Nouadhibou,MR,69.78,few clouds,20.931,-17.0347,El Medina
277,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
278,Dakar,SN,79.68,scattered clouds,14.6937,-17.4441,Novotel Dakar
280,Shingu,JP,79.93,overcast clouds,33.7333,135.9833,Shingu UI Hotel
283,Ponta Delgada,PT,66.51,light intensity shower rain,37.7333,-25.6667,Vila Nova Hotel
287,Ambulu,ID,78.08,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
290,Cap Malheureux,MU,67.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
292,Saint-Pierre,RE,66.9,overcast clouds,-21.3393,55.4781,Alize Plage
293,Pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
294,La Rochelle,FR,64.87,clear sky,46.1667,-1.15,Hôtel Saint Jean d'Acre
297,Faya,SA,71.71,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
298,Sao Joao Da Barra,BR,71.35,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
300,Muros,ES,66.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
312,Lafia,NG,74.64,light rain,8.4833,8.5167,Low Cost Housing Estate
313,Cavalcante,BR,66.33,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
317,Puteyets,RU,68.94,overcast clouds,65.1716,57.091,"Sot ""Agrarnik"""
321,Tirat Karmel,IL,70.59,clear sky,32.7617,34.9719,Marom Hotel Haifa מלון מרום
323,Ambon,ID,77.23,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
326,Hay River,CA,73.38,smoke,60.8156,-115.7999,Ptarmigan Inn
327,Paramirim,BR,65.16,clear sky,-13.4425,-42.2389,Pousada Rio Pequeno
328,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
329,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
330,Ahipara,NZ,63.66,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
331,Novobiryusinskiy,RU,65.61,light rain,56.9578,97.7076,Gostinitsa
333,Port Macquarie,AU,60.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
334,Abadiania,BR,67.12,clear sky,-16.2042,-48.7069,Pousada Lírio D'Água
336,Benghazi,LY,79.97,clear sky,32.1167,20.0667,Tibesti Hotel
339,La Ronge,CA,75.45,few clouds,55.1001,-105.2842,Northland Motor Hotel
345,Uberaba,BR,70.38,clear sky,-19.7483,-47.9319,Tamareiras Park Hotel
348,Caravelas,BR,69.93,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
352,Itabuna,BR,64.83,few clouds,-14.7856,-39.2803,Tarik Fontes Plaza Hotel Itabuna
353,Cheyenne,US,69.94,few clouds,41.14,-104.8203,The Historic Plains Hotel & Restaurant
356,Mogadishu,SO,75.76,overcast clouds,2.0371,45.3438,Hotel Juba
358,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
359,Boca Do Acre,BR,77.72,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
360,San Quintin,MX,67.71,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
362,Decatur,US,76.87,overcast clouds,39.8403,-88.9548,Haworth Cottage
365,Eyl,SO,77.16,broken clouds,7.9803,49.8164,Amiin Hotel
367,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
368,Huarmey,PE,62.76,clear sky,-10.0681,-78.1522,Hotel Miramar
370,Takoradi,GH,75.15,overcast clouds,4.8845,-1.7554,Raybow International Hotel
371,Robertsport,LR,77.86,light rain,6.7533,-11.3686,Kwepunha Retreat
