City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Tuktoyaktuk,CA,2022-07-07 23:12:43,69.4541,-133.0374,65.88,47,44,12.03
90,Constitucion,CL,2022-07-07 23:12:44,-35.3333,-72.4167,49.23,81,0,8.39
91,Mar Del Plata,AR,2022-07-07 23:08:24,-38.0023,-57.5575,45.95,51,0,10.0
92,Sibolga,ID,2022-07-07 23:12:44,1.7427,98.7792,75.85,84,23,3.27
93,Kodiak,US,2022-07-07 23:09:04,57.79,-152.4072,53.11,94,100,14.97
94,Millerovo,RU,2022-07-07 23:13:44,48.9226,40.3967,66.78,38,0,6.53
95,Camopi,GF,2022-07-07 23:13:45,3.1655,-52.3158,72.73,97,11,2.51
96,Honiara,SB,2022-07-07 23:13:45,-9.4333,159.95,84.65,66,82,8.66
97,Marzuq,YE,2022-07-07 23:13:45,14.4,46.4667,78.06,51,95,4.03
98,Tessalit,ML,2022-07-07 23:13:45,20.1986,1.0114,94.59,11,3,11.12
99,Sharjah,AE,2022-07-07 23:13:01,25.3573,55.4033,91.69,58,0,16.11
100,Bilibino,RU,2022-07-07 23:13:46,68.0546,166.4372,59.04,61,100,1.83
101,Sao Filipe,CV,2022-07-07 23:13:46,14.8961,-24.4956,74.21,83,5,6.44
102,Natal,BR,2022-07-07 23:11:59,-5.795,-35.2094,75.85,100,75,5.75
103,Mahon,ES,2022-07-07 23:13:46,39.8885,4.2658,72.16,88,20,5.75
104,Sitka,US,2022-07-07 23:13:47,57.0531,-135.33,60.69,77,75,10.36
105,Qaanaaq,GL,2022-07-07 23:13:48,77.484,-69.3632,43.74,68,67,3.49
106,Ixtapa,MX,2022-07-07 23:13:48,20.7,-105.2,86.23,79,75,12.66
107,Gat,IL,2022-07-07 23:13:48,31.61,34.7642,78.4,67,0,0.98
108,Lagoa,PT,2022-07-07 23:13:49,39.05,-27.9833,66.06,81,100,14.2
109,Provideniya,RU,2022-07-07 23:13:49,64.3833,-173.3,53.71,87,100,7.0
110,Arraial Do Cabo,BR,2022-07-07 23:11:18,-22.9661,-42.0278,71.55,82,22,24.38
111,Petrozavodsk,RU,2022-07-07 23:13:49,61.7849,34.3469,58.48,82,50,9.53
112,Zhangzhou,CN,2022-07-07 23:13:50,24.5133,117.6556,78.71,92,66,1.81
113,Chuy,UY,2022-07-07 23:13:50,-33.6971,-53.4616,47.17,68,0,6.22
114,York,US,2022-07-07 23:10:44,40.1254,-77.0,83.08,64,0,5.75
115,Ubauro,PK,2022-07-07 23:13:51,28.1652,69.7289,84.72,75,75,9.55
116,Bemidji,US,2022-07-07 23:13:51,47.4736,-94.8803,76.05,63,0,8.05
117,Barrow,US,2022-07-07 23:13:51,71.2906,-156.7887,42.82,87,100,10.36
118,Butaritari,KI,2022-07-07 23:13:52,3.0707,172.7902,81.93,75,87,16.49
119,Kachiry,KZ,2022-07-07 23:13:52,53.0675,76.1036,62.33,91,100,7.67
120,Baruun-Urt,MN,2022-07-07 23:13:52,46.6806,113.2792,59.45,75,53,12.39
121,Port Alfred,ZA,2022-07-07 23:13:53,-33.5906,26.891,60.67,69,24,5.53
122,Chara,RU,2022-07-07 23:13:53,56.9064,118.2631,58.73,68,79,4.5
123,Port-Gentil,GA,2022-07-07 23:13:53,-0.7193,8.7815,73.36,88,20,6.91
124,Maldonado,UY,2022-07-07 23:13:53,-34.6667,-54.9167,47.23,55,0,5.57
125,Negombo,LK,2022-07-07 23:13:54,7.2083,79.8358,79.56,83,100,11.14
126,Aleksandrovskoye,RU,2022-07-07 23:13:54,44.7142,43.0008,59.34,75,0,7.38
127,La Ronge,CA,2022-07-07 23:13:54,55.1001,-105.2842,71.69,33,61,7.0
128,Murray Bridge,AU,2022-07-07 23:13:55,-35.1167,139.2667,51.12,78,100,11.63
129,Nanortalik,GL,2022-07-07 23:13:55,60.1432,-45.2371,44.87,92,69,5.57
130,Goderich,CA,2022-07-07 23:13:55,43.7501,-81.7165,71.91,67,4,3.67
131,Yumen,CN,2022-07-07 23:13:55,40.2833,97.2,69.4,18,1,11.01
132,Jagdalpur,IN,2022-07-07 23:13:56,19.0667,82.0333,73.06,96,100,3.11
133,Badiraguato,MX,2022-07-07 23:13:56,25.3667,-107.5167,96.48,38,48,7.65
134,Ugoofaaru,MV,2022-07-07 23:13:56,5.6667,73.0,82.22,79,95,15.26
135,Luderitz,NA,2022-07-07 23:13:57,-26.6481,15.1594,59.09,51,0,6.13
136,Alyangula,AU,2022-07-07 23:13:57,-13.8483,136.4192,71.06,57,70,16.55
137,Coquimbo,CL,2022-07-07 23:13:57,-29.9533,-71.3436,53.33,87,0,3.44
138,Egvekinot,RU,2022-07-07 23:14:58,66.3167,-179.1667,45.41,78,100,2.13
139,Tomatlan,MX,2022-07-07 23:14:59,19.9333,-105.25,85.41,68,49,8.01
140,Salalah,OM,2022-07-07 23:14:59,17.0151,54.0924,77.09,100,100,6.91
141,Vostok,RU,2022-07-07 23:14:59,46.4856,135.8833,75.22,67,99,3.0
142,Miranda,CO,2022-07-07 23:14:59,3.2499,-76.2281,72.48,80,25,2.04
143,Abha,SA,2022-07-07 23:10:30,18.2164,42.5053,73.65,33,20,0.0
144,Puerto Ayora,EC,2022-07-07 23:15:01,-0.7393,-90.3518,71.55,87,66,8.01
145,Harper,LR,2022-07-07 23:15:01,4.375,-7.7169,76.28,79,91,9.53
146,Creel,MX,2022-07-07 23:15:01,27.75,-107.6333,58.84,86,99,1.57
147,Miraflores,MX,2022-07-07 23:15:02,19.2167,-98.8083,70.45,67,98,4.12
148,River Falls,US,2022-07-07 23:15:02,44.8614,-92.6238,86.34,86,96,5.59
149,Longyearbyen,SJ,2022-07-07 23:15:02,78.2186,15.6401,46.24,71,75,17.27
150,Mungwi,ZM,2022-07-07 23:15:03,-10.1732,31.3694,51.19,81,3,3.94
151,Prince Rupert,CA,2022-07-07 23:15:03,54.3161,-130.3201,59.09,87,100,3.44
152,Bonavista,CA,2022-07-07 23:15:04,48.6499,-53.1147,52.32,95,85,23.24
153,Isangel,VU,2022-07-07 23:15:04,-19.55,169.2667,80.11,76,96,6.11
154,Le Port,RE,2022-07-07 23:15:04,-20.9373,55.2919,69.26,54,49,8.14
155,Airai,TL,2022-07-07 23:15:05,-8.9266,125.4092,57.22,90,81,3.2
156,Iralaya,HN,2022-07-07 23:15:06,15.0,-83.2333,82.26,75,0,9.84
157,Hithadhoo,MV,2022-07-07 23:15:06,-0.6,73.0833,81.97,75,100,5.41
158,Tiznit,MA,2022-07-07 23:15:06,29.5833,-9.5,84.97,31,35,3.33
159,Korla,CN,2022-07-07 23:15:06,41.7597,86.1469,78.73,21,77,9.84
160,La Palma,US,2022-07-07 23:15:07,33.8464,-118.0467,98.96,58,20,12.66
161,Komsomolskiy,UZ,2022-07-07 23:15:08,40.4272,71.7189,73.02,31,0,3.89
162,Nemuro,JP,2022-07-07 23:15:08,43.3236,145.575,58.35,95,100,8.68
163,Champerico,GT,2022-07-07 23:15:09,14.3,-91.9167,86.54,72,73,8.23
164,Berlevag,NO,2022-07-07 23:15:09,70.8578,29.0864,57.0,87,100,6.91
165,Auki,SB,2022-07-07 23:15:10,-8.7676,160.7034,82.35,71,64,4.68
166,Vytegra,RU,2022-07-07 23:15:10,61.0064,36.4481,54.23,97,78,6.78
167,Trelew,AR,2022-07-07 23:15:10,-43.249,-65.3051,43.63,43,51,5.66
168,Clyde River,CA,2022-07-07 23:15:11,70.4692,-68.5914,37.63,87,100,6.91
169,Emerald,AU,2022-07-07 23:15:11,-23.5333,148.1667,58.33,81,51,10.65
170,Beloha,MG,2022-07-07 23:15:11,-25.1667,45.05,62.19,89,0,7.63
171,Wodonga,AU,2022-07-07 23:15:12,-36.1167,146.8833,44.6,96,100,8.05
172,Bathsheba,BB,2022-07-07 23:15:12,13.2167,-59.5167,83.01,84,20,23.02
173,Lata,PT,2022-07-07 23:15:12,40.1629,-8.3327,72.07,32,0,3.85
174,Ibaiti,BR,2022-07-07 23:15:13,-23.8486,-50.1878,59.11,66,84,3.94
175,Pevek,RU,2022-07-07 23:15:13,69.7008,170.3133,39.92,76,85,2.86
176,Chicama,PE,2022-07-07 23:15:13,-7.8447,-79.1469,61.34,73,1,7.07
177,Dezhou,CN,2022-07-07 23:15:14,37.4486,116.2925,80.67,68,0,10.58
