City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
57,Georgetown,MY,2022-07-08 02:20:00,5.4112,100.3354,few clouds,86.9,79,20,1.14
58,Geraldton,AU,2022-07-08 02:21:23,-28.7667,114.6,clear sky,64.81,32,1,6.91
59,Rikitea,PF,2022-07-08 02:19:34,-23.1203,-134.9692,clear sky,74.86,73,4,20.58
60,Victoria,HK,2022-07-08 02:20:53,22.2855,114.1577,scattered clouds,89.65,73,28,10.0
61,Kavieng,PG,2022-07-08 02:21:23,-2.5744,150.7967,moderate rain,81.86,79,99,15.01
62,Port Alfred,ZA,2022-07-08 02:21:24,-33.5906,26.891,clear sky,59.86,73,2,7.83
63,Aden,YE,2022-07-08 02:21:24,12.7794,45.0367,broken clouds,83.44,83,67,4.45
64,Sterling,US,2022-07-08 02:21:24,39.0062,-77.4286,broken clouds,75.49,87,75,3.44
65,Point Pedro,LK,2022-07-08 02:21:25,9.8167,80.2333,broken clouds,83.19,74,72,8.52
66,Lompoc,US,2022-07-08 02:21:25,34.6391,-120.4579,mist,65.84,86,100,9.22
67,New Norfolk,AU,2022-07-08 02:21:25,-42.7826,147.0587,moderate rain,51.93,83,100,4.0
68,Koutiala,ML,2022-07-08 02:21:26,12.3917,-5.4642,scattered clouds,82.76,60,44,7.7
69,East London,ZA,2022-07-08 02:18:17,-33.0153,27.9116,clear sky,59.36,63,3,5.59
70,Port Hedland,AU,2022-07-08 02:21:26,-20.3167,118.5667,clear sky,75.25,11,0,19.57
71,Antofagasta,CL,2022-07-08 02:21:26,-23.65,-70.4,scattered clouds,56.48,85,34,3.0
72,Vaini,TO,2022-07-08 02:21:26,-21.2,-175.2,scattered clouds,75.36,69,40,10.36
73,Nyurba,RU,2022-07-08 02:21:27,63.2842,118.3319,clear sky,66.15,44,0,11.86
74,Ordynskoye,RU,2022-07-08 02:21:20,54.3656,81.8994,scattered clouds,63.77,79,42,7.27
75,Dikson,RU,2022-07-08 02:17:07,73.5069,80.5464,overcast clouds,34.57,99,100,12.71
76,Touros,BR,2022-07-08 02:14:16,-5.1989,-35.4608,overcast clouds,74.07,91,90,10.74
77,Harper,LR,2022-07-08 02:21:27,4.375,-7.7169,overcast clouds,75.76,81,100,8.66
78,Bethel,US,2022-07-08 02:18:29,41.3712,-73.414,clear sky,70.65,82,0,3.44
79,Rawson,AR,2022-07-08 02:21:28,-43.3002,-65.1023,broken clouds,44.13,49,72,9.89
80,Beziers,FR,2022-07-08 02:21:28,43.3476,3.219,clear sky,71.89,49,0,14.97
81,Lavrentiya,RU,2022-07-08 02:18:17,65.5833,-171.0,overcast clouds,47.91,81,100,4.07
82,Carnarvon,AU,2022-07-08 02:21:29,-24.8667,113.6333,clear sky,68.34,23,0,10.92
83,Esperance,AU,2022-07-08 02:21:29,-33.8667,121.9,clear sky,59.49,65,6,16.15
84,Meulaboh,ID,2022-07-08 02:21:30,4.1363,96.1285,few clouds,79.18,84,20,3.65
85,Erenhot,CN,2022-07-08 02:21:30,43.6475,111.9767,scattered clouds,73.27,32,34,20.94
86,Shimoda,JP,2022-07-08 02:21:30,34.6667,138.95,scattered clouds,80.96,76,48,2.44
87,La Libertad,EC,2022-07-08 02:22:31,-2.2333,-80.9,overcast clouds,69.46,88,100,10.36
88,Bredasdorp,ZA,2022-07-08 02:17:15,-34.5322,20.0403,few clouds,48.74,93,17,3.89
89,Tsabong,BW,2022-07-08 02:22:31,-26.0217,22.401,clear sky,54.68,30,0,7.81
90,Torbay,CA,2022-07-08 02:22:31,47.6666,-52.7314,light rain,55.58,89,100,16.11
